,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 005,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 006,RigidBody 005:Marker1,RigidBody 005:Marker1,RigidBody 005:Marker1,RigidBody 005:Marker2,RigidBody 005:Marker2,RigidBody 005:Marker2,RigidBody 005:Marker3,RigidBody 005:Marker3,RigidBody 005:Marker3,RigidBody 005:Marker4,RigidBody 005:Marker4,RigidBody 005:Marker4,RigidBody 006:Marker1,RigidBody 006:Marker1,RigidBody 006:Marker1,RigidBody 006:Marker2,RigidBody 006:Marker2,RigidBody 006:Marker2,RigidBody 006:Marker3,RigidBody 006:Marker3,RigidBody 006:Marker3,RigidBody 006:Marker4,RigidBody 006:Marker4,RigidBody 006:Marker4
,ID,"BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE3BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","BB952AE8BA9711ECB191CFCEBF1C439E","CBBC0","CBBC0","CBBC0","CB9C0","CB9C0","CB9C0","CB9E0","CB9E0","CB9E0","CBD40","CBD40","CBD40","CB970","CB970","CB970","CBB00","CBB00","CBB00","CB960","CB960","CB960","CB9D0","CB9D0","CB9D0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,Z,X,X,Y,Z,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.027778,1.009957,-0.307865,-0.146736,3.005543,0.157716,0.317684,1.083001,-0.773500,0.642440,3.004556,0.154879,0.318221,3.005458,0.096644,0.250107,3.004400,0.157919,0.251848,2.976768,0.158567,0.317176,,,,3.009882,0.095184,0.284832,3.037484,0.073551,0.285805,3.026463,0.091721,0.371864,3.005803,0.154238,0.384915
11,0.030556,0.934757,-0.401830,-0.119215,3.005538,0.157681,0.317744,1.080702,-0.782850,0.638057,3.004574,0.154886,0.318215,3.005444,0.096672,0.250132,3.004478,0.157876,0.251918,2.976768,0.158587,0.317193,,,,3.009893,0.095178,0.284838,3.037472,0.073545,0.285802,3.026466,0.091727,0.371843,3.005821,0.154258,0.384919
12,0.033333,0.958115,-0.379649,-0.116982,3.005558,0.157671,0.317728,1.057789,-0.775971,0.642210,3.004575,0.154890,0.318212,3.005460,0.096625,0.250115,3.004467,0.157914,0.251910,2.976791,0.158564,0.317180,,,,3.009889,0.095189,0.284810,3.037490,0.073542,0.285781,3.026454,0.091729,0.371862,3.005801,0.154260,0.384921
13,0.036111,0.930396,-0.372140,-0.132116,3.005536,0.157679,0.317718,1.042860,-0.763736,0.637736,3.004581,0.154876,0.318199,3.005478,0.096634,0.250121,3.004481,0.157885,0.251889,2.976765,0.158568,0.317165,,,,3.009898,0.095174,0.284801,3.037466,0.073517,0.285771,3.026458,0.091727,0.371848,3.005803,0.154243,0.384905
14,0.038889,1.000461,-0.305207,-0.162994,3.005555,0.157708,0.317678,1.043915,-0.762431,0.638089,3.004570,0.154887,0.318218,3.005485,0.096614,0.250116,3.004422,0.157893,0.251843,2.976779,0.158560,0.317167,,,,3.009853,0.095203,0.284853,3.037472,0.073539,0.285771,3.026446,0.091745,0.371868,3.005802,0.154237,0.384912
15,0.041667,1.023439,-0.309002,-0.157170,3.005561,0.157724,0.317686,1.031904,-0.770511,0.636713,3.004592,0.154880,0.318201,3.005456,0.096646,0.250128,3.004401,0.157918,0.251855,2.976792,0.158569,0.317172,,,,3.009859,0.095196,0.284832,3.037451,0.073496,0.285759,3.026451,0.091726,0.371843,3.005812,0.154245,0.384902
16,0.044444,1.028578,-0.282588,-0.169014,3.005567,0.157722,0.317677,1.005600,-0.750803,0.627199,3.004605,0.154876,0.318189,3.005486,0.096628,0.250124,3.004401,0.157899,0.251843,2.976793,0.158559,0.317174,,,,3.009878,0.095181,0.284797,3.037467,0.073475,0.285738,3.026457,0.091738,0.371860,3.005807,0.154257,0.384902
17,0.047222,0.984151,-0.354066,-0.129362,3.005550,0.157687,0.317702,1.085814,-0.781574,0.646758,3.004556,0.154884,0.318208,3.005447,0.096630,0.250105,3.004431,0.157912,0.251881,2.976781,0.158564,0.317169,,,,3.009880,0.095191,0.284799,3.037485,0.073541,0.285793,3.026459,0.091721,0.371852,3.005801,0.154242,0.384908
18,0.050000,0.978492,-0.359469,-0.140425,3.005566,0.157685,0.317704,1.093611,-0.775308,0.642061,3.004546,0.154871,0.318192,3.005459,0.096645,0.250129,3.004455,0.157878,0.251879,2.976800,0.158555,0.317161,,,,3.009886,0.095170,0.284800,3.037471,0.073530,0.285790,3.026462,0.091713,0.371816,3.005798,0.154240,0.384894
19,0.052778,1.037223,-0.284389,-0.154304,3.005569,0.157717,0.317682,1.028518,-0.741496,0.628216,3.004580,0.154870,0.318199,3.005475,0.096632,0.250118,3.004388,0.157924,0.251863,2.976803,0.158551,0.317166,,,,3.009896,0.095165,0.284808,3.037481,0.073515,0.285760,3.026466,0.091734,0.371865,3.005796,0.154251,0.384909
