Amplitude Settings: 480.00, 480.00
Frequency Settings: 1.30,1.30
Bias Setting: 1040
================================================================
Time [s]Pos [deg]Acutal Pos [deg]Velocity [RPM]Yaw [deg]Current [mA]
11.92, 1040.30, 126.72, -2.98, 22.81, -378.00
12.03, 669.58, 107.62, -35.95, -6.30, -465.00
12.14, 568.17, 82.81, -32.06, -48.93, -246.00
12.25, 808.23, 62.57, -26.11, -71.90, 94.00
12.35, 1213.61, 63.71, 7.10, -74.51, 416.00
12.47, 1501.61, 88.88, 40.53, -57.33, 403.00
12.57, 1434.95, 115.10, 33.89, -61.05, 13.00
12.68, 1084.27, 121.62, 3.21, -71.85, -187.00
12.79, 699.10, 108.50, -21.98, -95.53, -469.00
12.90, 562.07, 78.23, -49.46, -116.10, -122.00
13.00, 770.70, 56.50, -26.79, -112.52, 121.00
13.11, 1171.89, 59.40, 8.47, -102.79, 466.00
13.22, 1480.16, 85.36, 44.65, -50.59, 603.00
13.33, 1469.31, 100.50, 19.01, 2.94, 404.00
13.43, 1150.88, 110.00, 15.57, 56.47, -51.00
13.54, 749.87, 110.44, -2.29, 103.77, -603.00
13.65, 560.01, 99.70, -16.72, 100.06, -1072.00
13.76, 729.41, 86.86, -20.15, 53.34, -199.00
13.87, 1125.20, 74.89, -17.40, 18.99, 141.00
13.98, 1456.94, 82.46, 15.34, 16.33, 623.00
14.08, 1488.59, 106.57, 37.78, 15.47, 86.00
14.19, 1193.20, 122.67, 18.09, 13.65, -161.00
14.30, 789.46, 115.37, -15.11, -0.26, -443.00
14.41, 564.66, 87.65, -46.72, -32.52, -291.00
14.51, 683.76, 63.10, -31.37, -38.77, -4.00
14.62, 1062.01, 60.37, 0.92, -12.85, 308.00
14.73, 1421.85, 77.88, 33.66, 7.95, 449.00
14.84, 1502.35, 112.02, 47.40, 7.60, 49.00
14.95, 1237.80, 126.81, 15.57, -8.60, -168.00
15.06, 828.02, 118.10, -16.49, -16.37, -460.00
15.16, 573.69, 90.38, -47.86, -41.91, -311.00
15.27, 655.79, 62.74, -37.10, -49.58, -2.00
15.38, 1014.07, 59.22, 0.69, -49.62, 228.00
15.48, 1390.93, 74.71, 27.48, -38.54, 465.00
15.59, 1515.87, 106.74, 49.24, -32.71, 117.00
15.70, 1297.20, 125.75, 22.21, -43.98, -108.00
15.81, 890.53, 120.65, -12.14, -67.02, -443.00
15.91, 594.27, 95.74, -44.88, -99.15, -383.00
16.03, 627.00, 64.68, -39.85, -109.70, -9.00
16.14, 966.40, 58.17, -3.21, -108.18, 221.00
16.24, 1356.52, 72.16, 25.88, -93.31, 454.00
16.35, 1519.76, 103.40, 49.01, -83.32, 173.00
16.46, 1333.24, 123.99, 24.50, -92.72, -66.00
16.57, 936.76, 121.09, -9.85, -120.81, -357.00
16.67, 612.45, 99.26, -39.39, -156.43, -411.00
16.78, 598.29, 67.41, -46.03, -163.18, -26.00
16.89, 904.35, 57.20, -8.70, -160.78, 183.00
17.00, 1306.05, 68.38, 21.53, -146.10, 464.00
17.10, 1517.93, 99.26, 48.55, -127.69, 234.00
17.23, 1330.85, 123.90, 22.90, -138.50, -71.00
17.33, 933.83, 120.91, -10.08, -159.01, -332.00
17.44, 611.09, 99.09, -39.39, -196.66, -407.00
17.55, 599.48, 66.62, -47.40, -201.96, -17.00
17.66, 907.24, 56.06, -9.39, -200.42, 229.00
17.76, 1308.55, 68.46, 23.59, -182.06, 429.00
17.87, 1517.84, 98.82, 48.32, -162.71, 254.00
17.98, 1381.54, 120.82, 26.79, -167.44, -14.00
18.09, 996.64, 121.00, -5.27, -183.30, -224.00
